Text,Author
I rather would entreat thy company,Shakespeare
"Proceed in justice, which shall have due course,",Shakespeare
"Sevenfold above itself, no gift to him,",Shakespeare
"Should lose their names, and so should justice too.",Shakespeare
'In witness whereof the parties interchangeably'--,Shakespeare
Getting ready for @nbcsnl commercial. https://t.co/asHECYFBRv,Trump
"Lo, as the bark, that hath discharged her fraught,",Shakespeare
"nights: your cousin, my lady, takes great",Shakespeare
I am happy to hear how badly the @nytimes is doing. It is a seriously failing paper with readership which is way down. Becoming irrelevant!,Trump
To save this brat's life?,Shakespeare
.@GovernorPerry failed on the border. He should be forced to take an IQ test before being allowed to enter the GOP debate.,Trump
"Patroclus make demands to me, you shall see the",Shakespeare
"As 'twere from us all, a man distill'd",Shakespeare
Forewarn him that he use no scurrilous words in 's tunes.,Shakespeare
"And I have seen thee pause and take thy breath,",Shakespeare
And wrangle with my reason that persuades me,Shakespeare
How sharp the point of this remembrance is!--,Shakespeare
"My lord the emperor, resolve me this:",Shakespeare
How likes she my discourse?,Shakespeare
That it but mocks reproof.,Shakespeare
"And, for I know your reverend ages love",Shakespeare
"""@crstin0516: @DanScavino @keraladubai @realDonaldTrump That chant gave me sweet, sweet chills!! #USA __ #America""",Trump
"O, forgive me my sins!",Shakespeare
That have on both sides pass'd.,Shakespeare
Not good news for Jeb Bush  https://t.co/5CrP5zdXsz,Trump
"'E la mi,' show pity, or I die.'",Shakespeare
"""@OfficialTentBoy: Even young conservatives support @realDonaldTrump because he is the right choice for this country and my generation""",Trump
I promised we would be contributors,Shakespeare
"Thou most lying slave,",Shakespeare
"To this my fair beloved: therefore, I pray you,",Shakespeare
Thank you Massachusetts! #Trump2016 #SuperTuesday,Trump
"My lords, a solemn hunting is in hand,",Shakespeare
For then she never looks upon her lure.,Shakespeare
A heaviness that's gone.,Shakespeare
And have a thousand times more cause than he,Shakespeare
Upon the rising of the mountain-foot,Shakespeare
Nor suffer others.,Shakespeare
"Assist me, Tranio, for I know thou wilt.",Shakespeare
.@kimguilfoyle- just watched you on @OutnumberedFNC- thank you!,Trump
"Why do fond men expose themselves to battle,",Shakespeare
"did come to his hands, and commands shall be",Shakespeare
That nothing but himself which looks like man,Shakespeare
Flourish. SATURNINUS and BASSIANUS go up into the Capitol,Shakespeare
"Lest Hector or my father should perceive me,",Shakespeare
I saw thee late at the Count Orsino's.,Shakespeare
"""@Port3Star: @JDiamond1 @CNNPolitics You know he has great vision. The very best. Many people have told him so. Thousands of people!""",Trump
Roguery!,Shakespeare
"Throws the dishes at them, and drives them out",Shakespeare
"""@CHM1321: @realDonaldTrump is ""in it to win it"".""",Trump
"At your request! yes, nightingales answer daws.",Shakespeare
How can this be?,Shakespeare
He wishes earnestly you never may.,Shakespeare
"""@Gengm7: @jakeda @realDonaldTrump As of April this year, Hillary had spent $264,000,000 on her campaign Mr.Trump $55,000,000. self funding""",Trump
"Well, I will go.",Shakespeare
Which signify what hate they bear their emperor,Shakespeare
"Joe McQuaid (@deucecrew) of the dying Union Leader wanted ads, lunches, donations, speeches from me, and tweets---very unethical.",Trump
a-field to-day?,Shakespeare
And manage it against despairing thoughts.,Shakespeare
"O miserable, unhappy that I am!",Shakespeare
discretion: there is no man hath a virtue that he,Shakespeare
"lady: make your excuse wisely, you were best.",Shakespeare
"And this shall all be buried by my death,",Shakespeare
"""@realDonaldTrump &amp; @HillaryClinton leading POLLS w/ one week until #IowaCaucus ...MORE on the 2016 elections TONIGHT on @FoxBusiness 7PM""",Trump
"Thank you Sparks, Nevada!
#VoteTrumpNV

#NevadaCaucus Finder:
https://t.co/Ryp3DwNe0u

https://t.co/n74lmDoRQO https://t.co/sO5h9LmIMg",Trump
"Noting this penury, to myself I said",Shakespeare
"That breath fame blows, that praise, sole sure,",Shakespeare
The lord be praised!,Shakespeare
"Now, now: I have not winked since I saw these",Shakespeare
"Were never for a piece of beauty rarer,",Shakespeare
Drinks to HORTENSIO,Shakespeare
"I think @megynkelly should take another eleven day ""unscheduled"" vacation.",Trump
"Now that I have settled my litigation with Univision, I look forward to sitting down with their star anchor (not baby) for an interview.",Trump
"Paint till a horse may mire upon your face,",Shakespeare
Mercy itself and frees all faults.,Shakespeare
"My lord, here is a note of certain dues.",Shakespeare
"Crooked Hillary Clinton is totally unfit to be our president-really bad judgement and a temperament, according to new book, which is a mess!",Trump
wisest. He shall taste of my bottle: if he have,Shakespeare
"Shed on the earth, for thy return to Rome:",Shakespeare
"RT @DanScavino: #Iowa #IA #OAN Poll Released
#1 @realDonaldTrump 30.9%
#2 @ScottWalker 15.4%
#3 @JebBush 10.0%
#4 @BobbyJindal 7.2% http:/_",Trump
That nature's fragile vessel doth sustain,Shakespeare
Thank you to our amazing law enforcement officers! #AmericaFirst https://t.co/qWaTT9jsQD,Trump
you could make it another.,Shakespeare
"Come, come, I'll go burn some sack, 'tis too late",Shakespeare
"No wonder the @nytimes is failingwho can believe what they write after the false, malicious &amp; libelous story they did on me.",Trump
"Well, God give her good rest! What hath he sent her?",Shakespeare
"Anybody that believes in strong borders and stopping illegal immigration cannot vote for Marco Rubio  READ THIS: https://t.co/Tj85IsBPG8""",Trump
